Issue Type,Issue key,Issue id,Parent id,Assignee,Status,Custom field (Planned Prod Deployment),Resolution,Updated,Due Date,Custom field (CMS Product Name),Custom field (Vulnerability Title),Custom field (Asset Names),Custom field (Service Port),Summary,Custom field (Vulnerability Proof),Custom field (Proof),Custom field (Package Details Dynamic),Custom field (Misconfiguration Description),Custom field (Misconfiguration Solution)
Vulnerability item,NXP-5021937,8613192,834885.0,usr8c027,Open,,,07/May/2026 11:01 PM,16/Jun/2026 12:00 AM,56e0d521.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,169dd85d.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 7.9


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 7.9


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 7.9


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 7.9


Vulnerable software installed: Azul Systems JRE 11.58.16 (/stxbase/stxapp/java/zulu11.58.16-sa-jdk11.0.16-linux_x64_del/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-2127619,5391331,1309380.0,usr8c027,Open,,,07/May/2026 11:00 PM,16/Jun/2026 12:00 AM,e114f5f1.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,ecfd88a7.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-6006047,6150857,2097427.0,usr8c027,Open,,,07/May/2026 11:00 PM,16/Jun/2026 12:00 AM,79d56f7b.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,ea767f86.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-4223634,4133435,962256.0,usr8c027,Open,,,07/May/2026 11:00 PM,16/Jun/2026 12:00 AM,3d07596f.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,6da093bb.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-414179,7078412,1242595.0,usr8c027,Open,,,07/May/2026 11:00 PM,16/Jun/2026 12:00 AM,e0399400.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,e60db565.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-4754106,4835612,1397669.0,usr8c027,Open,,,07/May/2026 11:00 PM,16/Jun/2026 12:00 AM,40409530.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,1d012150.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-2477967,5619491,8573372.0,usr8c027,Open,,,07/May/2026 11:03 PM,16/Jun/2026 12:00 AM,be334396.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,a938f6e2.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-711123,1181521,2774317.0,usr8c027,Open,,,07/May/2026 11:03 PM,16/Jun/2026 12:00 AM,bdec4971.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,5621ced4.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-3055494,3034060,6715705.0,usr8c027,Open,,,07/May/2026 11:03 PM,16/Jun/2026 12:00 AM,aa2cb2a8.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,d211ed98.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
Vulnerability item,NXP-4288034,3310582,4130292.0,usr8c027,Open,,,07/May/2026 11:03 PM,16/Jun/2026 12:00 AM,fc87792d.internal,Azul Zulu: CVE-2009-59816: WebKit Active Code Execution Vulnerability,fc87792d.internal,0,azul-zulu-CVE-2009-70199,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 1.8.0.422 (/stxbase/stxapp/java/zulu8.80.0.18-sa-jdk8.0.422-linux_x64/jre/lib/rt.jar)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 17.52.18 (/stxbase/stxapp/java/zulu17.52.18-sa-jdk17.0.12-linux_x64/lib/54c8aa44.internal)

Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Azul Systems JRE 11.74.16 (/stxbase/stxapp/java/zulu11.74.16-sa-jdk11.0.24-linux_x64/lib/54c8aa44.internal)",,,,
